,City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Lng
286,Hildburghausen,DE,01.05.2020,37.99,86,90,8.05,50.43,10.73
287,Mumford,GH,01.05.2020,70.99,60,100,3.36,5.26,-0.76
288,Warin Chamrap,TH,01.05.2020,73.0,83,1,4.7,15.19,104.86
289,Wad Rawah,SD,01.05.2020,55.17,24,0,10.25,15.16,33.13
290,Portland,US,01.05.2020,26.6,53,1,4.7,43.66,-70.25
291,Jalu,LY,01.05.2020,49.82,63,0,16.4,29.03,21.55
292,Morondava,MG,01.05.2020,76.35,86,0,1.63,-20.3,44.28
293,Kafanchan,NG,01.05.2020,65.26,34,96,5.39,9.58,8.3
294,Tabas,IR,01.05.2020,39.2,51,0,4.7,33.6,56.92
295,Tual,ID,01.05.2020,84.42,76,76,11.16,-5.67,132.75
296,Cabo San Lucas,MX,01.05.2020,70.0,77,75,3.36,22.89,-109.91
297,liliongan,PH,01.05.2020,84.72,58,44,5.46,7.36,124.8
298,Van,TR,01.05.2020,19.4,85,40,3.36,38.51,43.37
299,La Ronge,CA,01.05.2020,-2.2,77,90,5.14,55.1,-105.3
300,Norman Wells,CA,01.05.2020,-31.0,73,20,3.36,65.28,-126.83
301,Leningradskiy,RU,01.05.2020,-9.13,65,0,3.71,69.38,178.42
302,Tiksi,RU,01.05.2020,-12.57,86,3,13.6,71.64,128.87
303,Mazagao,BR,01.05.2020,78.8,100,20,6.93,-0.12,-51.29
304,Yar-Sale,RU,01.05.2020,10.06,89,0,14.61,66.83,70.83
305,Taltal,CL,01.05.2020,61.41,80,0,1.39,-25.41,-70.49
306,Phan Thiet,VN,01.05.2020,83.08,49,79,1.86,10.93,108.1
307,Pathein,MM,01.05.2020,80.1,73,17,10.02,16.78,94.73
308,Kendari,ID,01.05.2020,78.87,91,100,3.56,-3.99,122.52
309,Swan River,CA,01.05.2020,9.41,92,26,8.23,52.11,-101.27
310,Lavrentiya,RU,01.05.2020,-11.22,81,0,4.18,65.58,-170.99
311,Amga,RU,01.05.2020,4.8,96,100,3.89,60.89,131.98
312,Tiarei,PF,01.05.2020,80.6,88,40,6.93,-17.53,-149.33
313,Rapid Valley,US,01.05.2020,30.99,46,90,10.47,44.06,-103.15
314,Tsaratanana,MG,01.05.2020,68.36,94,100,4.34,-16.8,47.65
315,San Ramon,NI,01.05.2020,67.17,81,0,6.96,12.92,-85.84
316,Fortuna,US,01.05.2020,50.0,81,1,0.65,40.6,-124.16
317,Cockburn Town,TC,01.05.2020,77.47,68,2,8.16,21.46,-71.14
318,Aquiraz,BR,01.05.2020,86.0,74,75,5.82,-3.9,-38.39
319,Plouzane,FR,01.05.2020,41.0,86,90,10.29,48.38,-4.62
320,Labuhan,ID,01.05.2020,88.07,59,100,2.86,-2.54,115.51
321,Bubaque,GW,01.05.2020,77.02,43,0,17.49,11.28,-15.83
322,Dikson,RU,01.05.2020,17.19,94,100,16.11,73.51,80.55
323,Kholmogory,RU,01.05.2020,14.0,92,20,4.47,64.23,41.65
324,Port Blair,IN,01.05.2020,80.6,83,40,9.17,11.67,92.75
325,Talnakh,RU,01.05.2020,19.4,92,40,26.84,69.49,88.39
326,Mehamn,NO,01.05.2020,16.79,81,100,8.52,71.03,27.85
327,Nishihara,JP,01.05.2020,54.0,43,20,11.41,35.74,139.53
328,Te Anau,NZ,01.05.2020,43.54,77,60,11.92,-45.41,167.72
329,Poughkeepsie,US,01.05.2020,32.0,74,20,5.82,41.71,-73.93
330,Fort-Shevchenko,KZ,01.05.2020,30.74,56,100,5.75,44.51,50.26
331,Dasoguz,TM,01.05.2020,23.0,79,75,4.7,41.84,59.97
332,Berlevag,NO,01.05.2020,25.29,75,100,15.14,70.86,29.09
333,Provideniya,RU,01.05.2020,-11.09,72,83,8.1,64.42,-173.23
334,Bilma,NE,01.05.2020,51.28,31,48,6.42,18.69,12.92
335,Waingapu,ID,01.05.2020,84.13,77,37,22.37,-9.65,120.26
336,Mosquera,CO,01.05.2020,55.4,82,20,8.05,4.71,-74.23
337,Agadez,NE,01.05.2020,57.2,30,1,5.82,16.97,7.99
338,Tetouan,MA,01.05.2020,59.0,81,29,9.17,35.57,-5.37
339,Ribeira Grande,PT,01.05.2020,60.04,93,100,16.71,38.52,-28.7
340,Barabai,ID,01.05.2020,88.07,59,100,2.86,-2.59,115.38
341,Narsaq,GL,01.05.2020,17.6,78,90,8.05,60.91,-46.05
342,Kui Buri,TH,01.05.2020,77.0,69,33,5.06,12.07,99.86
343,Kjollefjord,NO,01.05.2020,19.53,74,100,7.43,70.95,27.35
344,Ferrol,ES,01.05.2020,41.0,100,75,8.05,43.48,-8.23
345,Cairns,AU,01.05.2020,89.01,70,40,5.82,-16.92,145.77
346,Conceicao do Araguaia,BR,01.05.2020,73.49,96,100,2.15,-8.26,-49.26
347,Rafraf,TN,01.05.2020,53.6,87,40,1.72,37.19,10.18
348,Bandarbeyla,SO,01.05.2020,79.0,77,94,6.8,9.49,50.81
349,Almaznyy,RU,01.05.2020,35.6,93,75,2.24,48.03,40.04
350,Vikhorevka,RU,01.05.2020,14.0,92,75,6.71,56.12,101.17
351,Santa Vitoria do Palmar,BR,01.05.2020,69.55,85,0,11.83,-33.52,-53.37
352,Kaitangata,NZ,01.05.2020,52.0,63,100,23.0,-46.28,169.85
353,Northam,AU,01.05.2020,87.8,20,0,4.7,-31.65,116.67
354,Liberty,US,01.05.2020,44.01,75,90,17.22,39.64,-84.93
355,Jangaon,IN,01.05.2020,68.2,57,16,7.23,17.72,79.16
356,Vanavara,RU,01.05.2020,14.27,94,100,8.25,60.35,102.28
357,Puerto Rico,CO,01.05.2020,71.74,88,61,3.15,1.91,-75.15
358,Atar,MR,01.05.2020,51.82,27,0,7.54,20.52,-13.05
359,Karratha,AU,01.05.2020,87.49,64,100,6.98,-20.74,116.85
360,Isangel,VU,01.05.2020,87.8,62,20,14.99,-19.55,169.27
361,Komsomolskiy,RU,01.05.2020,9.1,94,100,16.98,67.55,63.78
362,Kenai,US,01.05.2020,0.0,83,20,8.05,60.55,-151.26
363,Leshan,CN,01.05.2020,49.96,75,100,5.1,29.56,103.76
364,Ler,NO,01.05.2020,45.0,100,90,12.75,63.2,10.3
365,Kopong,BW,01.05.2020,68.0,82,16,4.7,-24.47,25.89
366,Pisz,PL,01.05.2020,28.4,92,100,6.93,53.63,21.81
367,Inuvik,CA,01.05.2020,-16.6,68,90,4.7,68.36,-133.71
368,Filingue,NE,01.05.2020,62.6,19,98,10.6,14.35,3.32
369,Krasnyy Kholm,RU,01.05.2020,24.91,84,6,4.09,58.06,37.11
370,Balikpapan,ID,01.05.2020,81.86,72,100,6.64,-1.24,116.86
371,Idrinskoye,RU,01.05.2020,13.19,87,85,3.76,54.37,92.14
372,Abha,SA,01.05.2020,57.2,87,20,10.29,18.22,42.5
373,Arraial do Cabo,BR,01.05.2020,76.08,86,100,2.51,-22.97,-42.02
374,Bosaso,SO,01.05.2020,77.88,75,0,5.57,11.28,49.18
375,Saint-Augustin,CA,01.05.2020,19.0,72,20,2.24,45.63,-73.98
376,Burnie,AU,01.05.2020,68.0,46,0,8.99,-41.05,145.91
377,Phibun Mangsahan,TH,01.05.2020,73.4,83,1,4.7,15.24,105.23
378,Sao Sebastiao,BR,01.05.2020,77.95,71,82,1.41,-3.15,-58.36
379,Flinders,AU,01.05.2020,72.0,88,100,6.93,-34.58,150.85
380,Mount Gambier,AU,01.05.2020,71.6,35,0,11.41,-37.83,140.78
381,Kanniyakumari,IN,01.05.2020,80.29,80,36,26.51,8.08,77.57
382,Linqiong,CN,01.05.2020,54.0,93,40,2.24,30.42,103.46
383,Fort Nelson,CA,01.05.2020,-9.4,69,75,5.82,58.81,-122.69
384,Kon Tum,VN,01.05.2020,77.52,50,0,1.48,14.36,108.0
385,Port Elizabeth,US,01.05.2020,37.99,59,1,5.82,39.31,-74.98
386,Caravelas,BR,01.05.2020,71.42,94,100,5.68,-17.73,-39.27
387,Kungurtug,RU,01.05.2020,-0.15,81,0,1.5,50.6,97.53
388,Rorvik,NO,01.05.2020,45.0,88,96,1.99,64.86,11.24
389,Srednekolymsk,RU,01.05.2020,-10.86,84,28,3.4,67.46,153.71
390,Pekalongan,ID,01.05.2020,83.7,74,76,7.02,-6.89,109.67
391,Lucapa,AO,01.05.2020,66.58,98,100,2.57,-8.42,20.74
392,Meulaboh,ID,01.05.2020,80.6,76,29,5.77,4.14,96.13
393,Trinidad,BO,01.05.2020,75.94,93,100,6.96,-14.83,-64.9
394,Sorong,ID,01.05.2020,90.1,56,72,5.26,-0.86,131.25
395,Tuatapere,NZ,01.05.2020,48.99,80,100,21.99,-46.13,167.69
396,Marzuq,YE,01.05.2020,59.5,74,5,0.56,14.4,46.47
397,Kaeo,NZ,01.05.2020,72.0,76,5,1.99,-35.1,173.78
398,Kyakhta,RU,01.05.2020,4.5,92,94,4.5,50.35,106.45
399,Georgetown,GY,01.05.2020,71.6,88,0,6.93,6.8,-58.16
400,Nhulunbuy,AU,01.05.2020,91.4,59,40,14.99,-12.18,136.78
401,Svetlaya,RU,01.05.2020,23.79,55,0,10.94,46.54,138.33
402,Bakhmach,UA,01.05.2020,28.44,91,0,7.65,51.18,32.81
403,Saint-Georges,CA,01.05.2020,12.99,84,100,4.0,46.12,-70.67
404,Kamariotissa,GR,01.05.2020,43.83,70,100,46.33,40.48,25.47
405,Ancud,CL,01.05.2020,51.8,81,40,1.12,-41.87,-73.83
406,Hay River,CA,01.05.2020,-13.0,75,75,5.82,60.82,-115.79
407,Kahului,US,01.05.2020,80.6,57,20,21.92,20.89,-156.47
408,Olinda,AU,01.05.2020,59.0,87,90,4.7,-37.84,145.39
409,Pangai,TO,01.05.2020,84.2,70,20,11.41,-19.8,-174.35
410,Pijijiapan,MX,01.05.2020,72.97,54,19,5.77,15.69,-93.21
411,Thinadhoo,MV,01.05.2020,83.93,74,88,13.0,0.53,72.93
412,Mezen,RU,01.05.2020,14.5,90,0,10.69,65.85,44.24
413,Eureka,US,01.05.2020,50.0,81,1,2.8,40.8,-124.16
414,Portales,US,01.05.2020,44.01,52,1,3.36,34.19,-103.33
415,Pavlivka,UA,01.05.2020,31.95,95,99,6.91,48.13,39.54
416,Usinsk,RU,01.05.2020,9.66,94,100,12.8,66.0,57.56
417,Glinde,DE,01.05.2020,42.8,87,75,11.41,53.54,10.21
418,El Viejo,NI,01.05.2020,81.54,56,36,9.15,12.66,-87.17
419,Bam,IR,01.05.2020,52.63,44,0,14.9,29.11,58.36
420,Galle,GN,01.05.2020,63.59,54,33,1.48,10.08,-12.83
421,Lourdes,SV,01.05.2020,80.6,47,0,16.11,13.73,-89.37
422,Wichita,US,01.05.2020,42.8,51,1,3.36,37.69,-97.34
423,Abu Kamal,SY,01.05.2020,47.41,76,47,0.94,34.45,40.92
424,Porosozero,RU,01.05.2020,21.34,75,100,10.11,62.72,32.71
425,Birao,CF,01.05.2020,61.48,25,35,11.79,10.3,22.78
426,Santa Marta,CO,01.05.2020,82.4,61,93,17.22,11.24,-74.21
427,Emilio Carranza,MX,01.05.2020,69.22,64,86,2.13,19.97,-96.61
428,Grindavik,IS,01.05.2020,35.6,97,90,18.34,63.84,-22.43
429,Eyl,SO,01.05.2020,78.91,82,39,12.41,7.98,49.82
430,Ust-Maya,RU,01.05.2020,-2.69,97,100,5.55,60.42,134.54
431,Mayo,CA,01.05.2020,-25.6,67,75,3.36,63.59,-135.9
432,Coquimbo,CL,01.05.2020,60.8,82,20,6.93,-29.95,-71.34
433,Scottsbluff,US,01.05.2020,34.0,58,20,6.93,41.87,-103.67
434,Zaysan,KZ,01.05.2020,-2.04,89,29,1.5,47.47,84.87
435,Bayamo,CU,01.05.2020,73.4,88,75,8.05,20.38,-76.64
436,Sao Francisco do Sul,BR,01.05.2020,73.0,94,40,3.87,-26.24,-48.64
437,Tignere,CM,01.05.2020,61.9,33,99,1.74,7.37,12.65
438,Gisors,FR,01.05.2020,39.2,86,0,3.36,49.28,1.78
439,Prescott,US,01.05.2020,50.0,28,1,8.05,34.54,-112.47
440,Ambulu,ID,01.05.2020,82.71,77,85,10.6,-8.35,113.61
441,Dalbandin,PK,01.05.2020,55.36,91,100,5.21,28.9,64.41
442,Baykit,RU,01.05.2020,8.55,97,98,4.38,61.68,96.39
443,Codrington,AU,01.05.2020,86.0,51,75,8.05,-28.95,153.24
444,Natori,JP,01.05.2020,48.0,36,40,14.99,38.17,140.88
445,Burns Lake,CA,01.05.2020,13.1,86,77,2.24,54.23,-125.76
446,Abyek,IR,01.05.2020,28.4,79,0,2.24,36.04,50.53
447,Aljezur,PT,01.05.2020,51.01,79,0,8.72,37.31,-8.8
448,Henties Bay,NA,01.05.2020,63.0,90,75,1.01,-22.12,14.28
449,Dauphin,CA,01.05.2020,21.2,73,20,16.11,51.15,-100.04
450,Mitsamiouli,KM,01.05.2020,82.92,72,98,4.63,-11.38,43.28
451,Sarkand,KZ,01.05.2020,19.2,43,0,3.27,45.41,79.91
452,Maumere,ID,01.05.2020,83.19,74,94,14.2,-8.63,122.22
453,Inta,RU,01.05.2020,10.45,93,87,16.2,66.04,60.13
454,Saint-Paul,FR,01.05.2020,37.99,74,0,8.05,45.22,1.9
455,Pakaur,IN,01.05.2020,63.66,52,0,4.97,24.64,87.92
456,Zhigansk,RU,01.05.2020,-11.67,94,99,16.67,66.77,123.37
457,Moroto,UG,01.05.2020,69.96,59,37,2.19,2.53,34.66
458,Rome,IT,01.05.2020,45.0,69,0,3.36,41.89,12.48
459,Hella,BF,01.05.2020,64.27,21,66,5.3,10.47,-3.27
460,Nyuzen,JP,01.05.2020,46.99,60,40,5.82,36.93,137.5
461,Nicoya,CR,01.05.2020,80.6,74,75,12.75,10.15,-85.45
462,Singaraja,ID,01.05.2020,83.39,75,68,7.25,-8.11,115.08
463,Lushoto,TZ,01.05.2020,67.77,84,100,4.29,-4.8,38.29
464,Batagay,RU,01.05.2020,-20.81,87,50,1.43,67.65,134.64
465,Sahbuz,AZ,01.05.2020,24.8,92,0,4.7,39.41,45.57
466,Ostrogozhsk,RU,01.05.2020,27.36,93,99,6.42,50.86,39.08
467,Ostrovnoy,RU,01.05.2020,12.79,84,94,15.73,68.05,39.51
468,Letychiv,UA,01.05.2020,23.9,90,91,6.96,49.38,27.62
469,High Level,CA,01.05.2020,-5.8,76,90,14.99,58.52,-117.13
470,Kununurra,AU,01.05.2020,84.2,79,90,6.93,-15.77,128.74
471,Moju,BR,01.05.2020,77.0,94,75,4.7,-1.89,-48.77
472,Chimore,BO,01.05.2020,74.32,98,100,1.32,-16.98,-65.13
473,Necochea,AR,01.05.2020,63.0,94,100,5.99,-38.55,-58.74
474,Yazman,SY,01.05.2020,41.56,94,81,11.48,36.74,38.46
475,Praia,BR,01.05.2020,73.4,83,40,4.45,-20.25,-43.81
476,Seoul,KR,01.05.2020,39.2,65,90,3.36,37.57,126.98
477,Buraydah,SA,01.05.2020,41.0,80,0,4.14,26.33,43.97
478,Valley City,US,01.05.2020,24.8,73,1,18.34,46.92,-98.0
479,Weligama,LK,01.05.2020,80.96,69,15,4.68,5.97,80.42
480,Terrasini,IT,01.05.2020,55.0,34,0,35.57,38.15,13.08
481,Turtas,RU,01.05.2020,13.69,96,99,7.38,58.94,69.13
482,San Patricio,PY,01.05.2020,78.6,53,0,8.46,-26.98,-56.83
483,Willowmore,ZA,01.05.2020,57.74,79,100,2.91,-33.3,23.49
484,Chumikan,RU,01.05.2020,4.08,80,0,3.31,54.72,135.31
485,Nantucket,US,01.05.2020,35.6,51,1,17.22,41.28,-70.1
486,Islamkot,PK,01.05.2020,64.6,43,0,6.6,24.7,70.18
487,Pascagoula,US,01.05.2020,53.6,93,1,3.06,30.37,-88.56
488,Port Augusta,AU,01.05.2020,69.01,76,20,1.99,-32.49,137.76
489,Guerrero Negro,MX,01.05.2020,63.05,50,83,7.16,27.97,-114.04
490,Dese,IT,01.05.2020,37.99,93,99,1.12,45.53,12.3
491,College Station,US,01.05.2020,62.6,47,1,5.82,30.63,-96.33
492,Bonavista,CA,01.05.2020,30.42,96,100,40.04,48.65,-53.11
493,Laguna,BZ,01.05.2020,73.4,73,75,4.34,16.17,-88.94
494,Palmas,BR,01.05.2020,77.0,88,40,8.05,-10.18,-48.33
495,San Cristobal,HN,01.05.2020,58.95,98,72,4.65,14.68,-86.92
496,Clyde River,CA,01.05.2020,-40.0,52,1,18.34,70.47,-68.59
497,Villarrubia de los Ojos,ES,01.05.2020,30.0,97,0,1.19,39.22,-3.61
498,Port Hardy,CA,01.05.2020,35.6,95,75,5.82,50.7,-127.42
499,Brigantine,US,01.05.2020,37.4,51,1,9.17,39.41,-74.36
500,Catabola,AO,01.05.2020,61.18,94,81,2.24,-12.14,17.29
501,Barmer,IN,01.05.2020,64.36,33,13,4.61,25.74,71.4
502,Shenjiamen,CN,01.05.2020,60.93,92,67,18.5,29.96,122.3
503,Robertsport,LR,01.05.2020,80.85,61,0,6.96,6.75,-11.37
504,Smalininkai,LT,01.05.2020,32.56,69,91,10.45,55.07,22.58
505,Emerald,AU,01.05.2020,87.8,48,90,14.99,-23.53,148.16
506,Muncar,ID,01.05.2020,83.57,75,63,10.76,-8.43,114.34
507,Issa,RU,01.05.2020,18.63,95,94,2.48,53.87,44.84
508,Port Macquarie,AU,01.05.2020,87.01,57,40,9.17,-31.43,152.91
509,Derzhavinsk,KZ,01.05.2020,13.3,95,76,6.13,51.1,66.31
510,Ixtapa,MX,01.05.2020,77.0,61,5,4.7,20.71,-105.21
511,Vanderhoof,CA,01.05.2020,23.85,77,67,8.81,54.02,-124.02
512,Kashan,IR,01.05.2020,39.52,51,0,2.8,33.99,51.44
513,Makakilo City,US,01.05.2020,82.4,69,20,11.41,21.35,-158.09
514,Wanning,AT,01.05.2020,30.99,86,75,2.24,48.64,13.53
515,Santa Isabel do Rio Negro,BR,01.05.2020,80.1,72,100,1.68,-0.41,-65.02
516,Podor,MR,01.05.2020,60.44,19,0,11.18,16.65,-14.96
517,Iralaya,HN,01.05.2020,80.96,80,68,17.02,15.0,-83.23
518,Hokitika,NZ,01.05.2020,56.16,65,21,37.47,-42.72,170.96
519,Borogontsy,RU,01.05.2020,-2.83,97,100,5.77,62.67,131.17
520,Dunda,IN,01.05.2020,42.19,41,100,2.91,30.62,78.32
521,Aswan,EG,01.05.2020,46.4,49,0,8.05,24.09,32.9
522,Antofagasta,CL,01.05.2020,69.8,73,46,4.7,-23.65,-70.4
523,Kurilsk,RU,01.05.2020,23.61,85,91,33.62,45.23,147.88
524,Viedma,AR,01.05.2020,57.79,93,95,3.02,-40.81,-62.99
525,Cortez,US,01.05.2020,30.2,80,1,4.7,37.35,-108.58
526,Kharp,RU,01.05.2020,5.38,97,71,4.12,66.82,65.8
527,Maldonado,UY,01.05.2020,75.2,60,20,10.29,-34.91,-54.96
528,Svatove,UA,01.05.2020,26.64,95,96,6.33,49.42,38.16
529,Shubarshi,KZ,01.05.2020,17.26,95,92,5.26,48.59,57.19
530,Constantine,DZ,01.05.2020,42.8,93,75,2.48,36.36,6.61
531,Waipawa,NZ,01.05.2020,60.01,66,46,27.0,-39.94,176.59
532,Madang,CN,01.05.2020,18.97,82,99,3.78,35.32,102.79
533,Okato,NZ,01.05.2020,64.0,53,31,15.99,-39.19,173.88
534,Xuanwu,CN,01.05.2020,57.99,87,90,2.24,32.07,118.81
535,Puerto Escondido,MX,01.05.2020,80.6,69,5,3.27,15.86,-97.07
536,Hegang,CN,01.05.2020,9.14,84,100,3.83,47.34,130.28
537,Araouane,ML,01.05.2020,55.35,22,0,10.38,18.9,-3.53
538,Urucui,BR,01.05.2020,72.75,79,22,2.44,-7.23,-44.56
539,Pelhrimov,CZ,01.05.2020,28.99,92,0,4.7,49.43,15.22
540,Ambon,FR,01.05.2020,37.4,86,0,9.17,47.55,-2.56
541,Keila,EE,01.05.2020,33.01,93,90,11.41,59.31,24.42
542,Kailua,US,01.05.2020,82.4,69,20,11.41,21.39,-157.74
543,Shimoda,JP,01.05.2020,59.0,65,20,9.17,34.7,138.93
544,Bastia,IT,01.05.2020,50.0,79,0,10.29,44.6,8.98
545,Kiunga,PG,01.05.2020,76.82,93,100,3.0,-6.12,141.3
546,Ayan,IR,01.05.2020,13.41,75,100,5.23,38.23,44.7
547,Menongue,AO,01.05.2020,60.57,96,57,2.68,-14.66,17.68
548,Camacha,PT,01.05.2020,60.8,72,40,11.41,33.08,-16.33
549,Kloulklubed,PW,01.05.2020,84.2,79,75,16.11,7.04,134.26
550,Kushima,JP,01.05.2020,51.8,61,40,5.82,31.5,131.29
551,Bredy,RU,01.05.2020,13.26,91,50,7.2,52.43,60.33
552,Nieuw Nickerie,SR,01.05.2020,76.86,73,0,10.29,5.94,-56.99
553,San Antonio,CL,01.05.2020,57.2,82,0,3.36,-33.58,-71.61
554,Santa Cruz,BR,01.05.2020,74.23,84,96,5.79,-6.22,-36.02
555,Baoding,CN,01.05.2020,33.55,88,61,4.47,38.86,115.49
556,Mizan Teferi,ET,01.05.2020,61.48,85,0,3.29,6.99,35.58
557,Hervey Bay,AU,01.05.2020,84.0,61,90,10.29,-25.3,152.85
558,Oktyabrskoye,RU,01.05.2020,27.0,92,75,13.42,56.73,85.44
559,Bolobo,CD,01.05.2020,74.82,62,99,2.21,-2.17,16.23
560,Ansalta,RU,01.05.2020,15.82,51,0,5.7,42.69,46.12
561,Semey,KZ,01.05.2020,-4.0,83,0,6.71,50.41,80.25
562,Oda,JP,01.05.2020,42.8,70,75,9.17,35.19,132.5
563,Nkawkaw,GH,01.05.2020,65.37,51,14,0.67,6.55,-0.77
564,Nuuk,GL,01.05.2020,6.8,84,90,33.33,64.17,-51.74
565,Leh,IN,01.05.2020,3.78,79,100,3.69,34.16,77.58
566,Puerto del Rosario,ES,01.05.2020,64.4,68,1,9.17,28.5,-13.86
567,Simiti,CO,01.05.2020,73.4,79,81,3.02,7.96,-73.94
568,Moose Factory,CA,01.05.2020,-0.4,84,40,5.82,51.26,-80.61
569,Mago,RU,01.05.2020,7.14,90,81,3.06,53.27,140.15
570,Petukhovo,RU,01.05.2020,10.72,95,100,9.95,55.06,67.89
571,Lamar,US,01.05.2020,33.8,47,1,10.29,38.09,-102.62
572,Ayni,TJ,01.05.2020,11.95,72,0,7.52,39.39,68.54
573,Jian,IN,01.05.2020,60.69,60,0,7.58,25.65,87.89
